	i_episode	Reward
398	398	199.0
399	399	139.0
400	400	184.0
401	401	219.0
402	402	179.0
403	403	161.0
404	404	137.0
405	405	144.0
406	406	141.0
407	407	149.0
408	408	153.0
409	409	151.0
410	410	133.0
411	411	152.0
412	412	131.0
413	413	147.0
414	414	254.0
415	415	151.0
416	416	184.0
417	417	156.0
418	418	131.0
419	419	133.0
420	420	149.0
421	421	140.0
422	422	140.0
423	423	148.0
424	424	143.0
425	425	161.0
426	426	151.0
427	427	181.0
428	428	165.0
429	429	135.0
430	430	135.0
431	431	178.0
432	432	184.0
433	433	137.0
434	434	129.0
435	435	147.0
436	436	124.0
437	437	78.0
438	438	151.0
439	439	176.0
440	440	177.0
441	441	151.0
442	442	242.0
443	443	302.0
444	444	156.0
445	445	381.0
446	446	72.0
447	447	312.0
448	448	39.0
449	449	260.0
450	450	146.0
451	451	204.0
452	452	198.0
453	453	35.0
454	454	74.0
455	455	33.0
456	456	189.0
457	457	202.0
458	458	151.0
459	459	163.0
460	460	296.0
461	461	312.0
462	462	162.0
463	463	149.0
464	464	31.0
465	465	95.0
466	466	120.0
467	467	151.0
468	468	151.0
469	469	164.0
470	470	88.0
471	471	107.0
472	472	151.0
473	473	74.0
474	474	190.0
475	475	187.0
476	476	158.0
477	477	192.0
478	478	128.0
479	479	151.0
480	480	148.0
481	481	356.0
482	482	180.0
483	483	160.0
484	484	196.0
485	485	177.0
486	486	246.0
487	487	173.0
488	488	273.0
489	489	323.0
490	490	143.0
491	491	429.0
492	492	263.0
493	493	183.0
494	494	109.0
495	495	230.0
496	496	303.0
497	497	118.0
498	498	268.0
499	499	274.0
